Latejami
N,V,A,D,C
0-n,P-s,P-d,P/F-s,P/F-d,AP-s,AP-d,AP/F-s,AP/F-d,A/P-s,A/P-d,A/P/F-s,A/P/F-d,F-s,F-d,F/P-s,F/P-d
kifimi,N,P-s,"picture, image, likeness, simulacrum, representation",fimi,MODIFIED,,844
kukifimi,N,P-s,"graph, plot, chart",kifimi,MODIFIED,,2631
dekifimi,N,P-s,"screen, projection or movie screen",kifimi,MODIFIED,,2492;ERGANE:9626
binkifimi,N,P-s,photo/photograph,kifimi,MODIFIED,,2757
jaxifimi,N,P-s,stock certificate,fimi,MODIFIED,,1492
jodafimi,N,P-s,balloon,fimi,MODIFIED,,1507;ERGANE:1763
jafimi,N,P-s,"cash, money",fimi,MODIFIED,,753
jijafimi,N,P-s,"bill, banknote, greenback, note, unit of paper money",jafimi,MODIFIED,,2555;ERGANE:5280
cajafimi,N,P-s,treasure,jafimi,MODIFIED,,2460;ERGANE:44785
cajafimaymi,N,P-s,"treasury, treasure house or location",cajafimi,SUFFIXED,,4044;ERGANE:44782
tojafimi,N,P-s,"product, commodity, item of merchandise",jafimi,MODIFIED,,2677
litojafimi,N,P-s,"merchandise, goods, wares",tojafimi,PREFIXED,,4024
fajafimi,N,P-s,"stamp, postage stamp",jafimi,MODIFIED,,2504
dejafimi,N,P-s,"wallet, billfold",jafimi,MODIFIED,,2490
jujafimi,N,P-s,"check, draft",jafimi,MODIFIED,,2580
cayjafimi,N,P-s,"coin, specie, unit of hard money",jafimi,MODIFIED,,2799;ERGANE:28320
tinfimi,N,P-s,"map, chart",fimi,MODIFIED,,1312;ERGANE:26713
kutinfimi,N,P-s,"atlas, book of maps",tinfimi,MODIFIED,,2953;ERGANE:51114
jotinfimi,N,P-s,"globe, spherical map",tinfimi,MODIFIED,,2899;ERGANE:43668
dwefimi,N,P-s,"toy, plaything",fimi,MODIFIED,,1174
defimi,N,P-s,"page, sheet of a document",fimi,MODIFIED,,671
dwedefimi,N,P-s,"card, playing card",defimi,MODIFIED,,2848;ERGANE:19179
zonfimi,N,P-s,"antique, something made a long time ago but still having social value",fimi,MODIFIED,,1375
tefimi,N,P-s,"message, communique, dispatch",fimi,MODIFIED,,888;ERGANE:38914
ketefimi,N,P-s,"sign, poster, placard",tefimi,MODIFIED,,2612
fotefimi,N,P-s,card,tefimi,MODIFIED,,2539;ERGANE:19179
zintefimi,N,P-s,"jewelry, piece or item of jewelry",tefimi,MODIFIED,,3014
kutefimi,N,P-s,"dictionary, wordbook, lexicon",tefimi,MODIFIED,,2635;ERGANE:47247
zutefimi,N,P-s,"note, comment, annotation",tefimi,MODIFIED,,2731
kofimi,N,P-s,"textbook, schoolbook",fimi,MODIFIED,,855
bikofimi,N,P-s,encyclopedia,kofimi,MODIFIED,,2425
kukofimi,N,P-s,"diagram, chart",kofimi,MODIFIED,,2633
cakofimi,N,P-s,"degree, diploma",kofimi,MODIFIED,,2463
cafimi,N,P-s,"artwork, work of art",fimi,MODIFIED,,613
cunfimi,N,P-s,"document, record",fimi,MODIFIED,,1117;ERGANE:8649
zinfimi,N,P-s,"painting, mural, canvas (that has been painted on)",fimi,MODIFIED,,1368
zifimi,N,P-s,"drawing, sketch",fimi,MODIFIED,,995
jazifimi,N,P-s,"purse, pocketbook, handbag",zifimi,MODIFIED,,2550
kizifimi,N,P-s,frame [for a picture or painting],zifimi,MODIFIED,,2618
tofimi,N,P-s,"trinket, bauble, gewgaw",fimi,MODIFIED,,915
koyfimi,N,P-s,"tombstone, gravestone",fimi,MODIFIED,,1270
zunfimi,N,P-s,"model, figure, representation",fimi,MODIFIED,,1389
kezunfimi,N,P-s,"statue, bust, sculpture",zunfimi,MODIFIED,,2934;ERGANE:41640
dayzunfimi,N,P-s,recording,zunfimi,MODIFIED,,3055
jofimi,N,P-s,"ring [jewelry], band",fimi,MODIFIED,,787
bufimi,N,P-s,"log, journal, diary, record",fimi,MODIFIED,,595
dawfimi,N,P-s,"newspaper, gazette",fimi,MODIFIED,,1129
dofimi,N,P-s,"ballot, slate, ticket",fimi,MODIFIED,,685
binfimi,N,P-s,"print/printing, words in printed form",fimi,MODIFIED,,1034
binfimenta,V,A/P-d,"print, set in print",binfimi,CHANGED,,3034;ERGANE:34892
bayfimi,N,P-s,"gift, present",fimi,MODIFIED,,1025
jabayfimi,N,P-s,ad/advertisement,bayfimi,MODIFIED,,2880
dinfimi,N,P-s,"album, record, LP",fimi,MODIFIED,,1146;ERGANE:2385
kidinfimi,N,P-s,DVD,dinfimi,MODIFIED,,2939
fodinfimi,N,P-s,"CD, compact disc",dinfimi,MODIFIED,,2869
fifimi,N,P-s,notebook,fimi,MODIFIED,,717;ERGANE:30452
fafifimi,N,P-s,"mail, mailed item",fifimi,MODIFIED,,2503
toyfimi,N,P-s,"magazine, journal",fimi,MODIFIED,,1321;ERGANE:24945
fafimi,N,P-s,"letter, missive",fimi,MODIFIED,,701
kufafimi,N,P-s,publication,fafimi,MODIFIED,,2625;ERGANE:10110
kufafimapa,V,A/P-d,"publish, release, promulgate, circulate, disseminate, propagate",kufafimi,CHANGED,,4020
jozumi,N,P-s,"ball, spherical game item",zumi,MODIFIED,,171
figi,N,P-s,wall,zumi,DERIVATE,,41;ERGANE:28862
cufigi,N,P-s,floor [of a room],figi,MODIFIED,,643
cancufigi,N,P-s,rug,cufigi,MODIFIED,,2786
kecufigi,N,P-s,"carpet, large rug",cufigi,MODIFIED,,2596
focufigi,N,P-s,"mat, pad",cufigi,MODIFIED,,2527
cenfigi,N,P-s,"lid, cover, cap",figi,MODIFIED,,1097
kwicenfigi,N,P-s,roof,cenfigi,MODIFIED,,3095;ERGANE:43334
dafigi,N,P-s,ceiling,figi,MODIFIED,,658;ERGANE:33300
jayfigi,N,P-s,"filter, strainer, sieve",figi,MODIFIED,,1217;ERGANE:12797
kejayfigi,N,P-s,"screen, fine-meshed separator",jayfigi,MODIFIED,,2925;ERGANE:9626
jubofigi,N,P-s,umbrella,figi,MODIFIED,,1511;ERGANE:33943
tifigi,N,P-s,door,figi,MODIFIED,,900
tifigaymi,N,P-s,doorway,tifigi,SUFFIXED,,2976
jutifigi,N,P-s,"plug, stopper",tifigi,MODIFIED,,2584
zetifigi,N,P-s,gate,tifigi,MODIFIED,,2710
zafigi,N,P-s,net,figi,MODIFIED,,974;ERGANE:37357
cefigi,N,P-s,insulator,figi,MODIFIED,,622
cunfigi,N,P-s,"wrapper/wrapping, sheath",figi,MODIFIED,,1116
cunfigenta,V,A/P-d,"wrap (up), envelop, sheathe",cunfigi,CHANGED,,3049
kifigi,N,P-s,window,figi,MODIFIED,,843;ERGANE:12426
jukifigi,N,P-s,curtain,kifigi,MODIFIED,,2582;ERGANE:22842
zukifigi,N,P-s,pane,kifigi,MODIFIED,,2728
zefigi,N,P-s,fence [enclosure or barrier],figi,MODIFIED,,982
dazefigi,N,P-s,"stair, step",zefigi,MODIFIED,,2487
defigi,N,P-s,tile,figi,MODIFIED,,670;ERGANE:18404
cendefigi,N,P-s,shingle,defigi,MODIFIED,,2802;ERGANE:48661
byefigi,N,P-s,"separator, partition",figi,MODIFIED,,1065
jifigi,N,P-s,"pillar, column",figi,MODIFIED,,772;ERGANE:42228
fayjinfigi,N,P-s,saddle,figi,MODIFIED,,1799;ERGANE:39153
tofigi,N,P-s,"barrier, obstruction, obstacle",figi,MODIFIED,,914;ERGANE:5065
cujinfigi,N,P-s,"cushion, pad",figi,MODIFIED,,1653
fusi,N,P-s,knife,zumi,DERIVATE,,44;ERGANE:44608
cintifusi,N,P-s,ski,fusi,MODIFIED,,1648
bifusi,N,P-s,sword,fusi,MODIFIED,,561
junfusi,N,P-s,"mold, shape-giving instrument or container",fusi,MODIFIED,,1242;ERGANE:28724
tinfusi,N,P-s,compass [magnetic direction indicator],fusi,MODIFIED,,1313
fufusi,N,P-s,"plow, tiller",fusi,MODIFIED,,741
fufusiga,N,P-s,"plow, till, work the soil",fufusi,CHANGED,,2545
bufusi,N,P-s,"tool, instrument",fusi,MODIFIED,,596
cefusi,N,P-s,"club, cudgel, bat",fusi,MODIFIED,,623;ERGANE:19906
zecefusi,N,P-s,whip,cefusi,MODIFIED,,2705
kifusi,N,P-s,"glasses, spectacles, eyeglasses",fusi,MODIFIED,,845
fakifusi,N,P-s,"telescope, spy glass",kifusi,MODIFIED,,2505;ERGANE:43448
fokifusi,N,P-s,"magnifier/magnifying glass, hand lens",kifusi,MODIFIED,,2535
zukifusi,N,P-s,microscope,kifusi,MODIFIED,,2729;ERGANE:27748
zefusi,N,P-s,comb,fusi,MODIFIED,,983;ERGANE:20246
fefusi,N,P-s,"thermometer, temperature indicator",fusi,MODIFIED,,708
kawfusi,N,P-s,saw,fusi,MODIFIED,,1251;ERGANE:38960
dafusi,N,P-s,"arrow, quarrel",fusi,MODIFIED,,659;ERGANE:38388
kwadafusi,N,P-s,bow [archery],dafusi,MODIFIED,,2957
zondafusi,N,P-s,parachute,dafusi,MODIFIED,,3023;ERGANE:31924
tidafusi,N,P-s,"fan, air mover",dafusi,MODIFIED,,2668;ERGANE:2860
jifusi,N,P-s,"ax, axe",fusi,MODIFIED,,773
zejifusi,N,P-s,quarterstaff,jifusi,MODIFIED,,2706
zojifusi,N,P-s,battle-axe,jifusi,MODIFIED,,2721
cufusi,N,P-s,"scale(s), balance, weight measuring device",fusi,MODIFIED,,644
cawfusi,N,P-s,"ruler, rule, straightedge",fusi,MODIFIED,,1084;ERGANE:36773
byefusi,N,P-s,"device, implement",fusi,MODIFIED,,1066
libyefusi,N,P-s,"equipment, gear",byefusi,PREFIXED,,2964;ERGANE:9518
jofusi,N,P-s,spoon,fusi,MODIFIED,,789;ERGANE:22425
kejofusi,N,P-s,ladle,jofusi,MODIFIED,,2602
tijofusi,N,P-s,whisk [kitchen utensil],jofusi,MODIFIED,,2671
benfusi,N,P-s,abacus,fusi,MODIFIED,,1031;ERGANE:53110
dinfusi,N,P-s,flute,fusi,MODIFIED,,1147;ERGANE:13363
fedinfusi,N,P-s,guitar,dinfusi,MODIFIED,,2857
tedinfusi,N,P-s,horn [musical instrument],dinfusi,MODIFIED,,2970
codinfusi,N,P-s,violin,dinfusi,MODIFIED,,2811
kudinfusi,N,P-s,piano,dinfusi,MODIFIED,,2942;ERGANE:32986
dedinfusi,N,P-s,tambourine,dinfusi,MODIFIED,,2828
dendinfusi,N,P-s,bell,dinfusi,MODIFIED,,3056
zodinfusi,N,P-s,bugle,dinfusi,MODIFIED,,3019
defusi,N,P-s,level [the tool],fusi,MODIFIED,,672
zunfusi,N,P-s,mirror,fusi,MODIFIED,,1390
jayfusi,N,P-s,"shovel, spade",fusi,MODIFIED,,1218
bojayfusi,N,P-s,strainer,jayfusi,MODIFIED,,2762
kebojayfusi,N,P-s,"colander, large food strainer",bojayfusi,MODIFIED,,4052
cayfusi,N,P-s,"hammer, mallet",fusi,MODIFIED,,1091
zinfusi,N,P-s,paintbrush,fusi,MODIFIED,,1369
kenfusi,N,P-s,razor,fusi,MODIFIED,,1265;ERGANE:36526
doyfusi,N,P-s,"key, unlocking implement",fusi,MODIFIED,,1160;ERGANE:19805
bozifusi,N,P-s,"syringe, needle",fusi,MODIFIED,,1428
bozifusiga,N,P-s,inject [using a syringe],bozifusi,CHANGED,,3039
cinfusi,N,P-s,broom,fusi,MODIFIED,,1106;ERGANE:4840
cinfusiga,N,P-s,"sweep, use a broom",cinfusi,CHANGED,,2809
focinfusi,N,P-s,brush,cinfusi,MODIFIED,,2867;ERGANE:47276
kofusi,N,P-s,"gauge, calibrated measurement indicator",fusi,MODIFIED,,856
twakofusi,N,P-s,calipers,kofusi,MODIFIED,,2987
twefusi,N,P-s,fork [food utensil],fusi,MODIFIED,,1336
jafusi,N,P-s,"cash register, till",fusi,MODIFIED,,754
zebayfusi,N,P-s,pike,fusi,MODIFIED,,1772;ERGANE:11739
