Latejami
N,V,A,D,C
0-n,P-s,P-d,P/F-s,P/F-d,AP-s,AP-d,AP/F-s,AP/F-d,A/P-s,A/P-d,A/P/F-s,A/P/F-d,F-s,F-d,F/P-s,F/P-d
cantoma,V,0-n,"be moderate, temperate, so-so, average, moderate in degree or magnitude",cantomo,CHANGED,,1081
tomeno,A,P-s,"which [interrogative adjective], what",tomo,SUFFIXED,,221
tomena,V,P-s,"be which [interrogative adjective], what",tomeno,CHANGED,,923
ketomo,A,0-n,"high in degree or magnitude, great, intense, high, strong, keen, acute, severe, considerable, substantial",tomo,MODIFIED,,187
ketoma,V,0-n,"be high in degree or magnitude, great, intense, high, strong, keen, acute, severe, considerable, substantial",ketomo,CHANGED,,834
bitomo,A,0-n,"utter, such a, absolute, utmost, total, maximum/maximal, greatest, highest, uppermost, ultra, prodigious, extreme",tomo,MODIFIED,,96
bitoma,V,0-n,"be utter, such a, absolute, utmost, total, maximum/maximal, greatest, highest, uppermost, ultra, prodigious, extreme",bitomo,CHANGED,,574
tomay,D,0-n,somehow,tomo,CHANGED,,79
coytomay,D,0-n,"only, just, merely, simply, solely, exclusively, purely, nothing but",tomay,MODIFIED,,1450
jopay,D,0-n,"to a/some degree, to an unspecified degree",tomay,DERIVATE,,527
jopusay,D,0-n,"so, to a degree known from context",jopay,SUFFIXED,,2307
zujopay,D,0-n,"least, comparative modifier",jopay,MODIFIED,,2395
fojopay,D,0-n,"less, comparative modifier",jopay,MODIFIED,,2282
fojopapa,V,A/P-d,"reduce, decrease, lessen, lower, cause to become less in degree or magnitude",fojopay,CHANGED,,3727
fojopupa,V,P-d,"decrease, lessen, diminish, shrink, abate, become less in degree or magnitude",fojopay,CHANGED,,3728
canjopay,D,0-n,"as (much/many), comparative modifier",jopay,MODIFIED,,2464
kejopay,D,0-n,"more, -er, comparative modifier",jopay,MODIFIED,,2328
kejopupa,V,P-d,"increase, intensify, heighten, grow, rise, become more in degree or magnitude",kejopay,CHANGED,,3764
kejopapa,V,A/P-d,"magnify, amplify, heighten, intensify, enlarge, raise, cause to become more in degree or magnitude",kejopay,CHANGED,,3763
bijopay,D,0-n,"most, comparative modifier",jopay,MODIFIED,,2178
jopenay,D,0-n,"how (much), to what degree or extent",jopay,SUFFIXED,,2306
ketomay,D,0-n,"very (much), highly, extremely, a lot, much, really",tomay,MODIFIED,,1266
bawtomay,D,0-n,"especially, particularly, in particular, specially, expressly",tomay,MODIFIED,,1400
zutomay,D,0-n,"barely, hardly, negligibly, minimally",tomay,MODIFIED,,1394
fotomay,D,0-n,"slightly, not too, a little, a bit, to a small or low degree",tomay,MODIFIED,,1197
kintomay,D,0-n,"too, excessively, over-",tomay,MODIFIED,,1524
bontomay,D,0-n,"insufficiently, inadequately",tomay,MODIFIED,,1422
fentomay,D,0-n,"about, approximately, circa, roughly, more or less",tomay,MODIFIED,,1477
xitomay,D,0-n,"enough, sufficiently, adequately",tomay,MODIFIED,,1350
bitomay,D,0-n,"utterly, so (much), maximally, ultra-, as much as possible, totally, absolutely, such, really, to the greatest degree possible, etc",tomay,MODIFIED,,1039
tatomay,D,0-n,"almost, not quite, nearly, all but, well-nigh",tomay,MODIFIED,,1298
duntomay,D,0-n,"exactly, precisely, strictly, no more and no less",tomay,MODIFIED,,1470
duntomo,A,0-n,"exact, precise, express, absolute, rigorous, strict, faithful",tomo,MODIFIED,,316
duntoma,V,0-n,"be exact, precise, express, absolute, rigorous, strict, faithful",duntomo,CHANGED,,1171
zutomo,A,0-n,"minimum, minimal, negligible, inconsiderable, inconsequential, trifling, lowest, weakest, minimal in degree or magnitude",tomo,MODIFIED,,255
zutoma,V,0-n,"be minimum, minimal, negligible, inconsiderable, inconsequential, trifling, lowest, weakest, minimal in degree or magnitude",zutomo,CHANGED,,1018
tomi,N,P-s,"something, anything, things, stuff, whatever",tomo,CHANGED,Undetermined substantive,65;ERGANE:51213
tomeni,N,P-s,"what [interrogative noun], which entity",tomi,SUFFIXED,,924
litomi,N,P-s,"things, stuff",tomi,PREFIXED,,877
tomawni,N,P-s,"each other, one another",tomi,SUFFIXED,,1320
lutomi,N,P-s,whatever/whatsoever,tomi,PREFIXED,,878
tomavi,N,P-s,"self, oneself",tomi,SUFFIXED,,921
tayvi,N,P-s,we all,tomi,DERIVATE,Generic pronoun: 1+2+3,530
covi,N,P-s,we (but not they),tayvi,DERIVATE,Autoantiontive personal pronoun: 1+2,1843
tuvi,N,P-s,we (but not you),tayvi,DERIVATE,Autoanontive personal pronoun: 1+3,1869
bavi,N,P-s,I,tayvi,DERIVATE,Autontive personal pronoun: 1,1836
zavi,N,P-s,you,tayvi,DERIVATE,Antianontive personal pronoun: 2+3,1876
divi,N,P-s,"it, he, she, they",zavi,DERIVATE,Anontive personal pronoun: 3,3194
xevi,N,P-s,"you, thou [2p sing]",zavi,DERIVATE,Antiontive personal pronoun: 2,3207
jutomi,N,0-n,"nothing, nil, naught",tomi,MODIFIED,,809
fotomo,A,0-n,"of a small or low degree, slight, mere, meager, low, weak, mild",tomo,MODIFIED,,149
fotoma,V,0-n,"be of a small or low degree, slight, mere, meager, low, weak, mild",fotomo,CHANGED,,735
kintomo,A,0-n,"excessive, inordinate, overrated, overblown, overdone, outrageous, superfluous",tomo,MODIFIED,,352
kintoma,V,0-n,"be excessive, inordinate, overrated, overblown, overdone, outrageous, superfluous",kintomo,CHANGED,,1269
tomavo,A,P-s,"own, pertaining to oneself",tomo,SUFFIXED,,220
tomava,V,P-s,"be own, pertaining to oneself",tomavo,CHANGED,,920
kumo,A,P-s,"any, some, an unspecified quantity or amount",tomo,DERIVATE,tomo + quantity instead of quality,57
dikumo,A,P-s,three,kumo,MODIFIED,,681
dikuma,V,P-s,be three,dikumo,CHANGED,,1959
dikume,D,P-s,"being three, in three",dikuma,CHANGED,,3277
dikumoge,D,0-n,"thrice, three times, on three occasions",dikume,SUFFIXED,,4381
taykumo,A,P-s,seven,kumo,MODIFIED,,1299
taykuma,V,P-s,be seven,taykumo,CHANGED,,2355
jukumo,A,P-s,"zero, no/none",kumo,MODIFIED,,803
jukuma,V,P-s,"be zero, no/none",jukumo,CHANGED,,2033
kumeno,A,P-s,"how many/much [interrogative adjective], what quantity of",kumo,SUFFIXED,,872
kumena,V,P-s,"be how many/much [interrogative adjective], what quantity of",kumeno,CHANGED,,2088
tukumo,A,P-s,five,kumo,MODIFIED,,933
tukuma,V,P-s,be five,tukumo,CHANGED,,2119
likumo,A,P-s,"multiple, plural, various",kumo,PREFIXED,,876
likuma,V,P-s,"be multiple, plural, various",likumo,CHANGED,,2094
didakumo,A,P-s,"tertiary, third in importance, rank, or value",kumo,MODIFIED,,1465
didakuma,V,P-s,"be tertiary, third in importance, rank, or value",didakumo,CHANGED,,2494
zukumi,N,P-s,"bit, iota, speck, smidgen, a tiny amount or quantity",kumo,CHANGED,,1012;ERGANE:5642
cankumo,A,P-s,"several, some, a number of, a moderate quantity of",kumo,MODIFIED,,1078
cankuma,V,P-s,"be several, some, a number of, a moderate quantity of",cankumo,CHANGED,,2209
cankume,D,P-s,"being several, being a number of",cankuma,CHANGED,,3462
cankumoge,D,0-n,"sometimes, at times, now and then, occasionally, a number of times",cankume,SUFFIXED,,4534
zakumo,A,P-s,six,kumo,MODIFIED,,976
zakuma,V,P-s,be six,zakumo,CHANGED,,2145
jekumo,A,P-s,"next, next member of a sequence",kumo,MODIFIED,,768;ERGANE:39137
jekuma,V,P-s,"be next, next member of a sequence",jekumo,CHANGED,,2012
jekume,D,P-s,"being next, being next member of a sequence",jekuma,CHANGED,,3318
jekumoge,D,0-n,the next time,jekume,SUFFIXED,,4410
fokumo,A,P-s,"few, little [quantity], a small amount or quantity, not too much, not too many",kumo,MODIFIED,,729
fokuma,V,P-s,"be few, little [quantity], a small amount or quantity, not too much, not too many",fokumo,CHANGED,,1986
fokume,D,P-s,"being few, being a small amount or quantity",fokuma,CHANGED,,3301
fokumoge,D,0-n,"occasionally, on occasion, from time to time, once in a while, every so often, sporadically, not too often, a few times",fokume,SUFFIXED,,4402
fotinkumo,A,P-s,"a small fraction of, a minority of",kumo,MODIFIED,,1694
fotinkuma,V,P-s,"be a small fraction of, a minority of",fotinkumo,CHANGED,,2875
dankumo,A,P-s,"extra, spare, surplus, leftover, supernumerary, over and above, above and beyond",kumo,MODIFIED,,1126;ERGANE:9881
dankuma,V,P-s,"be extra, spare, surplus, leftover, supernumerary, over and above, above and beyond",dankumo,CHANGED,,2232
bakukumo,A,P-s,"each, every",kumo,MODIFIED,,1397
bakukuma,V,P-s,"be each, every",bakukumo,CHANGED,,2405
xekumo,A,P-s,"two, both",kumo,MODIFIED,,949
xekuma,V,P-s,"be two, both",xekumo,CHANGED,,2128
xekume,D,P-s,"being two, in two",xekuma,CHANGED,,3401
xekumoge,D,0-n,"twice, two times, on two occasions",xekume,SUFFIXED,,4475;ERGANE:9042
dizenkumo,A,P-s,"triple, threefold, three-in-one, three of a kind",kumo,MODIFIED,,1673;ERGANE:44893
dizenkuma,V,P-s,"be triple, threefold, three-in-one, three of a kind",dizenkumo,CHANGED,,2837
kuma,V,P-s,"to be any, some, an unspecified quantity or amount",kumo,CHANGED,,512
kumayga,V,AP/F-d,"count, enumerate, quantify, tally",kuma,SUFFIXED,,2336;ERGANE:30361
kumoni,N,P-s,"quantity (of), amount, number, how many/much",kuma,CHANGED,,2089
kume,D,P-s,"being any, some, an unspecified quantity or amount",kuma,CHANGED,,1864
kumoge,D,0-n,"sometimes, at times, ever (in questions)",kume,SUFFIXED,,3374
jukumoge,D,0-n,"never, zero times, not ... ever, not ... at all, on no occasion",kumoge,MODIFIED,,4423
kumapa,V,A/P-d,"divide, separate, partition, split up, break up",kuma,SUFFIXED,,2087;ERGANE:3603
cikumo,A,P-s,"previous, last, previous member of a sequence",kumo,MODIFIED,,634
cikuma,V,P-s,"be previous, last, previous member of a sequence",cikumo,CHANGED,,1942
cikume,D,P-s,being previous member of a sequence,cikuma,CHANGED,,3261
cikumoge,D,0-n,"the last time, the previous time",cikume,SUFFIXED,,4375
xedakumo,A,P-s,"secondary, second in importance, rank, or value",kumo,MODIFIED,,1567
xedakuma,V,P-s,"be secondary, second in importance, rank, or value",xedakumo,CHANGED,,2686
xikumo,A,P-s,"enough, sufficient, adequate, ample, plenty of",kumo,MODIFIED,,954
xikuma,V,P-s,"be enough, sufficient, adequate, ample, plenty of",xikumo,CHANGED,,2133
cokumo,A,P-s,four,kumo,MODIFIED,,638
cokuma,V,P-s,be four,cokumo,CHANGED,,1944
cantinkumo,A,P-s,about half,kumo,MODIFIED,,1792
cantinkuma,V,P-s,be about half,cantinkumo,CHANGED,,3045
kekumo,A,P-s,"many, much, numerous, lots of, a lot of, plenty of",kumo,MODIFIED,,827
kekuma,V,P-s,"be many, much, numerous, lots of, a lot of, plenty of",kekumo,CHANGED,,2058
kekume,D,P-s,"being many, much, numerous",kekuma,CHANGED,,3343
kekumoge,D,0-n,"often(times), frequently, a lot, again and again, commonly, many times",kekume,SUFFIXED,,4442
zutinkumo,A,P-s,"almost none of, a tiny fraction of",kumo,MODIFIED,,1782
zutinkuma,V,P-s,"be almost none of, a tiny fraction of",zutinkumo,CHANGED,,3030
zukumo,A,P-s,"a very small quantity of, hardly any, very few, very little, almost no, a tiny or minimal amount or quantity, etc",kumo,MODIFIED,,1013
zukuma,V,P-s,"be a very small quantity of, hardly any, very few, very little, almost no, a tiny or minimal amount or quantity, etc",zukumo,CHANGED,,2172
zukume,D,P-s,being a very small quantity of,zukuma,CHANGED,,3437
zukumoge,D,0-n,"rarely, seldom, hardly ever, almost never, infrequently",zukume,SUFFIXED,,4503
fikumo,A,P-s,eight,kumo,MODIFIED,,723
fikuma,V,P-s,be eight,fikumo,CHANGED,,1977
bikumo,A,P-s,"all, every",kumo,MODIFIED,,570;ERGANE:47845
bikumogo,A,P-s,"constant, incessant, ceaseless, endless, perpetual, interminable",bikumo,SUFFIXED,,2427
bikumoga,V,P-s,"be constant, incessant, ceaseless, endless, perpetual, interminable",bikumogo,CHANGED,,3679
bikuma,V,P-s,"be all, every",bikumo,CHANGED,,1909
bikume,D,P-s,"being all, every",bikuma,CHANGED,,3231
bikumoge,D,0-n,"always, all the time, constantly, invariably",bikume,SUFFIXED,,4343;ERGANE:29830
byekumo,A,P-s,"sequential, ranked, graded, in a row, in (a) sequence",kumo,MODIFIED,,1068
xebyekumo,A,P-s,second [in sequence],byekumo,MODIFIED,,2991
xebyekuma,V,P-s,be second [in sequence],xebyekumo,CHANGED,,3964
babyekumo,A,P-s,first,byekumo,MODIFIED,,2733
babyekuma,V,P-s,be first,babyekumo,CHANGED,,3837
byekuma,V,P-s,"be sequential, ranked, graded, in a row, in (a) sequence",byekumo,CHANGED,,2197
bibyekumo,A,P-s,"final, last, highest in a sequence",byekumo,MODIFIED,,2746
bibyekuma,V,P-s,"be final, last, highest in a sequence",bibyekumo,CHANGED,,3841
canbyekumo,A,P-s,"medial, middle, midway, midmost, intermediate, halfway, midway in a sequence",byekumo,MODIFIED,,3043
canbyekuma,V,P-s,"be medial, middle, midway, midmost, intermediate, halfway, midway in a sequence",canbyekumo,CHANGED,,3997
zubyekumo,A,P-s,"initial, leading, first, lowest in a sequence, at the very beginning of a sequence",byekumo,MODIFIED,,3026
zubyekuma,V,P-s,"be initial, leading, first, lowest in a sequence, at the very beginning of a sequence",zubyekumo,CHANGED,,3981
fobyekumo,A,P-s,"early, near the beginning (of a sequence), early in a sequence",byekumo,MODIFIED,,2866
fobyekuma,V,P-s,"be early, near the beginning (of a sequence), early in a sequence",fobyekumo,CHANGED,,3895
kebyekumo,A,P-s,"near-to-last, later, latter, almost last, near the end, high in a sequence",byekumo,MODIFIED,,2921
kebyekuma,V,P-s,"be near-to-last, later, latter, almost last, near the end, high in a sequence",kebyekumo,CHANGED,,3924
dibyekumo,A,P-s,third,byekumo,MODIFIED,,2831
dibyekuma,V,P-s,be third,dibyekumo,CHANGED,,3883
kokumo,A,P-s,nine,kumo,MODIFIED,,863
kokuma,V,P-s,be nine,kokumo,CHANGED,,2079
badakumo,A,P-s,"primary, main, chief, foremost, major, principal, first in importance, rank, or value",kumo,MODIFIED,,1395
badakuma,V,P-s,"be primary, main, chief, foremost, major, principal, first in importance, rank, or value",badakumo,CHANGED,,2399
bikumi,N,P-s,"everything, all things",kumo,CHANGED,,569
xekukumo,A,P-s,"both, group of two",kumo,MODIFIED,,1569
xekukuma,V,P-s,"be both, group of two",xekukumo,CHANGED,,2689
xezenkumo,A,P-s,"double, twofold, two-in-one, two of a kind",kumo,MODIFIED,,1766;ERGANE:52800
xezenkuma,V,P-s,"be double, twofold, two-in-one, two of a kind",xezenkumo,CHANGED,,2994
bazenkumo,A,P-s,"single, one of a kind",kumo,MODIFIED,,1597
bazenkuma,V,P-s,"be single, one of a kind",bazenkumo,CHANGED,,2743
bakumo,A,P-s,"one, single",kumo,MODIFIED,,544
bakumunzo,A,P-s,"specific, particular, individual, select, express, one specific or particular",bakumo,SUFFIXED,,2739
bakumunza,V,P-s,"be specific, particular, individual, select, express, one specific or particular",bakumunzo,CHANGED,,3839
bakuma,V,P-s,"to be one, single",bakumo,CHANGED,,1888
bakumapa,V,A/P-d,"unify, unite, combine, cause to become a single unit",bakuma,SUFFIXED,,3661
bakumasa,V,A/P-s,"bind, keep or hold together as a unit",bakuma,SUFFIXED,,3662;ERGANE:5580
bakumoni,N,P-s,"unity, unison, union, oneness",bakuma,CHANGED,,3663
bakume,D,P-s,"in unison, together, as a unit, as one",bakuma,CHANGED,,3221
bakumoge,D,0-n,"once, one time, on one occasion",bakume,SUFFIXED,,4331
ketinkumo,A,P-s,"most, a large fraction of, a majority of",kumo,MODIFIED,,1732
ketinkuma,V,P-s,"be most, a large fraction of, a majority of",ketinkumo,CHANGED,,2932
kinkumo,A,P-s,too many/much,kumo,MODIFIED,,1267
kinkuma,V,P-s,be too many/much,kinkumo,CHANGED,,2333
bawtomo,A,0-n,"special, particular, notable/noteworthy",tomo,MODIFIED,,257
bawtoma,V,0-n,"be special, particular, notable/noteworthy",bawtomo,CHANGED,,1021
bontomo,A,0-n,"insufficient, inadequate, deficient, wanting, incomplete, lacking, too little, not enough",tomo,MODIFIED,,265
bontoma,V,0-n,"be insufficient, inadequate, deficient, wanting, incomplete, lacking, too little, not enough",bontomo,CHANGED,,1041
jutomo,A,0-n,"no, not (at all), negative indefinite article",tomo,MODIFIED,,176
jutoma,V,0-n,"be no, not (at all), negative indefinite article",jutomo,CHANGED,,808
taymo,A,P-s,our aforementioned,tomo,DERIVATE,Generic inclusive possessive: 1+2+3,78
tayso,A,P-s,"the, the aforementioned",taymo,DERIVATE,Generic (definite) deictic: 1+2+3,529;ERGANE:23103
coso,A,P-s,this,tayso,DERIVATE,Adistal deictic: 1+2,1842
cosa,V,P-s,be this,coso,CHANGED,,3189
baso,A,P-s,this,tayso,DERIVATE,Proximal deictic: 1,1835
basa,V,P-s,be this,baso,CHANGED,,3184
tuso,A,P-s,the,tayso,DERIVATE,Amedial possessive: 1+3,1868
tusa,V,P-s,be the,tuso,CHANGED,,3204
zaso,A,P-s,that,tayso,DERIVATE,Aproximal deictic: 2+3,1875
diso,A,P-s,yon,zaso,DERIVATE,Distal deictic: 3,3193
disa,V,P-s,be yon,diso,CHANGED,,4074
zasa,V,P-s,be that,zaso,CHANGED,,3210
xeso,A,P-s,"that, those [near the listener]",zaso,DERIVATE,Medial deictic: 2,3206
xesa,V,P-s,"be that, those [near the listener]",xeso,CHANGED,,4077
taysa,V,P-s,"be the, the aforementioned",tayso,CHANGED,,1882
bamo,A,P-s,my,taymo,DERIVATE,Autontive possessive: 1,482
bama,V,P-s,be my,bamo,CHANGED,,1834
tumo,A,P-s,our (but not your),taymo,DERIVATE,Autoanontive possessive: 1+3,517
tuma,V,P-s,be our (but not your),tumo,CHANGED,,1867
zamo,A,P-s,your,taymo,DERIVATE,Antianontive possessive: 2+3,522;ERGANE:6851
xemo,A,P-s,your,zamo,DERIVATE,Antiontive possessive: 2,1871;ERGANE:46552
xema,V,P-s,be your,xemo,CHANGED,,3205
zama,V,P-s,be your,zamo,CHANGED,,1874
dimo,A,P-s,"his, her, its, their",zamo,DERIVATE,Anontive possessive: 3,1850
dima,V,P-s,"be his, her, its, their",dimo,CHANGED,,3192
tayma,V,P-s,be our aforementioned,taymo,CHANGED,,528
como,A,P-s,"our, both my and your but not of others",taymo,DERIVATE,Autoantiontive possessive: 1+2,491
coma,V,P-s,"be our, both my and your but not of others",como,CHANGED,,1841
toma,V,0-n,something happens,to,DERIVATE,unspecified verb,15
tomayga,V,AP/F-d,"measure, gauge, quantify, valuate, assess, assay",toma,SUFFIXED,,370;ERGANE:27659
tega,V,A/P/F-d,tell,toma,DERIVATE,speech acts,61
tegoma,V,A/P-d [-F],"say, utter, speak, state, declare, express",tega,SUFFIXED,,891;ERGANE:8230
teginza,V,AP/F-s,"speak, use speech",tega,SUFFIXED,,1304
foytega,V,A/P/F-d,"shout (at/to), yell, holler, call out, cry out",tega,MODIFIED,,1202
zufoytega,V,A/P/F-d,"whisper, susurrate",foytega,MODIFIED,,3028;ERGANE:13356
kitega,V,A/P/F-d,"describe, characterize",tega,MODIFIED,,852;ERGANE:35170
baytega,V,A/P/F-d,"answer, reply, respond",tega,MODIFIED,,1027
xonjuntega,V,A/P/F-d,"cuss out, swear at, use vulgar language at",tega,MODIFIED,,1822
dentega,V,A/P/F-d,"preach, sermonize",tega,MODIFIED,,1143;ERGANE:34764
cadentega,V,A/P/F-d,bless,dentega,MODIFIED,,2780
xondentega,V,A/P/F-d,curse,dentega,MODIFIED,,3138;ERGANE:25216
jutega,V,A/P/F-d,"lie, prevaricate, tell a lie, speak falsely, bear false witness",tega,MODIFIED,,807
zentega,V,A/P/F-d,invite,tega,MODIFIED,,1366;ERGANE:17891
katega,V,A/P/F-d,"claim, profess, allege",tega,MODIFIED,,815
jekatega,V,A/P/F-d,"promise, pledge, vow, swear, give one's word",katega,MODIFIED,,2553
jukatega,V,A/P/F-d,"deny, repudiate, disclaim",katega,MODIFIED,,2581
jantega,V,A/P/F-d,"swear, affirm, vouch, assert [under oath]",tega,MODIFIED,,1210
jentega,V,A/P/F-d,"report, communicate officially or in a professional format",tega,MODIFIED,,1224;ERGANE:20555
jentegenvi,N,P-s,"account, rendition, depiction, report",jentega,CHANGED,,3075;ERGANE:45714
fawtega,V,A/P/F-d,"criticize, find fault, censure",tega,MODIFIED,,1182
kefawtega,V,A/P/F-d,"denounce, condemn",fawtega,MODIFIED,,2924;ERGANE:7651
tafawtega,V,A/P/F-d,"warn, caution, give warning",fawtega,MODIFIED,,2968;ERGANE:4460
dutega,V,A/P/F-d,"decree, ordain, rule",tega,MODIFIED,,697
kaytega,V,A/P/F-d,"flatter, butter up, blandish, adulate, wheedle",tega,MODIFIED,,1260;ERGANE:13144
fotega,V,A/P/F-d,"mention, comment, remark, note, observe",tega,MODIFIED,,733;ERGANE:27353
cetega,V,A/P/F-d,"insult, affront",tega,MODIFIED,,626;ERGANE:30753
fintega,V,A/P/F-d,"prohibit, forbid, bar",tega,MODIFIED,,1195
catega,V,A/P/F-d,"ask for/that, request, call, appeal, order [eg. at a restaurant]",tega,MODIFIED,,617
kecatega,V,A/P/F-d,"urge, encourage, exhort, prompt, admonish",catega,MODIFIED,,2595
buncatega,V,A/P/F-d,"beg, beseech, implore, plead, entreat",catega,MODIFIED,,2770;ERGANE:2631
jancatega,V,A/P/F-d,"appeal, make a legal request",catega,MODIFIED,,2889
bicatega,V,A/P/F-d,"demand to, insist",catega,MODIFIED,,2413
jucatega,V,A/P/F-d,"refuse, decline, turn down, not consent to",catega,MODIFIED,,2573
baycatega,V,A/P/F-d,"offer, present, proffer",catega,MODIFIED,,2740
xotega,V,A/P/F-d,"order, command, dictate, direct, mandate, instruct, bid, enjoin, charge",tega,MODIFIED,,964
dantega,V,A/P/F-d,"praise, laud, extol, applaud",tega,MODIFIED,,1127
teginki,N,P-s,"speech, speaking, talk(ing)",tega,CHANGED,,1303
xonzuntega,V,A/P/F-d,mock,tega,MODIFIED,,1826
ketega,V,A/P/F-d,"declare, declaim",tega,MODIFIED,,832
citega,V,A/P/F-d,greet,tega,MODIFIED,,635;ERGANE:38562
butega,V,A/P/F-d,accuse,tega,MODIFIED,,609
xonbutega,V,A/P/F-d,"confess, admit (wrongdoing)",butega,MODIFIED,,3000
cabutega,V,A/P/F-d,"compliment, pay a compliment to",butega,MODIFIED,,2456;ERGANE:20470
tabutega,V,A/P/F-d,"dare, challenge",butega,MODIFIED,,2647;ERGANE:4600
febutega,V,A/P/F-d,"incite, provoke",butega,MODIFIED,,2510;ERGANE:35680
dinbutega,V,A/P/F-d,congratulate,butega,MODIFIED,,2834;ERGANE:15522
tege,D,A/P/F-d,telling,tega,CHANGED,,514
tegoge,D,0-n,"aloud, out loud, using speech",tege,SUFFIXED,,2102
bontega,V,A/P/F-d,"complain to, groan, grumble, gripe",tega,MODIFIED,,1040
bontegenvi,N,P-s,"complaint, grievance, peeve",bontega,CHANGED,,3038;ERGANE:2215
kotega,V,A/P/F-d,"explain, explicate, expound, spell out, clarify, elucidate, make something well understood",tega,MODIFIED,,864
jatega,V,A/P/F-d,"haggle, dicker, negotiate, bargain",tega,MODIFIED,,761
zoytega,V,A/P/F-d,"welcome, bid someone welcome",tega,MODIFIED,,1385;ERGANE:5982
tatega,V,A/P/F-d,"propose, submit, suggest, posit",tega,MODIFIED,,883
tegapa,V,A/P-d,"speak to, talk to",tega,SUFFIXED,,890
kubetega,V,A/P/F-d,"announce, say publicly",tega,MODIFIED,,1532
judintega,V,A/P/F-d,"apologize, beg pardon, ask forgiveness",tega,MODIFIED,,1720
fetega,V,A/P/F-d,"scold, berate",tega,MODIFIED,,710;ERGANE:1640
buntega,V,A/P/F-d,"threaten, menace",tega,MODIFIED,,1054
buntegenvi,N,P-s,threat,buntega,CHANGED,,3040
fobuntega,V,A/P/F-d,"intimidate, cow, browbeat",buntega,MODIFIED,,2865
tantega,V,A/P/F-d,"advise, recommend, counsel, suggest",tega,MODIFIED,,1297
tantegenvi,N,P-s,"advice, recommendation, counsel, suggestion",tantega,CHANGED,,3126
xontega,V,A/P/F-d,protest,tega,MODIFIED,,1356
xontegoma,V,A/P-d [-F],"object to, protest (about), challenge",xontega,SUFFIXED,,3003
xutega,V,A/P/F-d,"credit for/with, attribute, ascribe",tega,MODIFIED,,972
xonxutega,V,A/P/F-d,blame,xutega,MODIFIED,,3004;ERGANE:34926
kintega,V,A/P/F-d,"brag, boast",tega,MODIFIED,,1268;ERGANE:12124
tegawna,V,A+P/F-d,"discuss, talk about, confer about",tega,SUFFIXED,,1301
tegawnenvi,N,P-s,"discussion, conversation, talk, dialogue",tegawna,CHANGED,,3127
dwetega,V,A/P/F-d,"tease, banter, joke",tega,MODIFIED,,1175;ERGANE:17119
xentega,V,A/P/F-d,"thank, express gratitude, give or offer thanks",tega,MODIFIED,,1344
tegenvi,N,P-s,"statement, utterance, remark, comment, expression",tega,CHANGED,,1302;ERGANE:20550
datega,V,A/P/F-d,"exclaim, cry out, say with strong feelings",tega,MODIFIED,,664
judatega,V,A/P/F-d,"disparage, belittle, bad-mouth, malign, put down",datega,MODIFIED,,2575
kwatega,V,A/P/F-d,"ask, question, query, inquire",tega,MODIFIED,,1285
tomenta,V,A/P/F-d,"add F to P, increase P by F, extend, augment, supplement",toma,SUFFIXED,,371
cala,V,AP-s,"try, attempt, essay, endeavor, have (a go) at",toma,DERIVATE,activity,30
foycala,V,AP-s,"pronounce, enunciate",cala,MODIFIED,,1198
dinfoycala,V,AP-s,cheer,foycala,MODIFIED,,3057
fifoycala,V,AP-s,"spell (out), orthographize",foycala,MODIFIED,,2864
bocala,V,AP-s,swim,cala,MODIFIED,,580
dabocala,V,AP-s,"dive, plunge",bocala,MODIFIED,,2480;ERGANE:33783
kwabocala,V,AP-s,row [a boat],bocala,MODIFIED,,2955
dancala,V,AP-s,"applaud, clap (hands)",cala,MODIFIED,,1123
bucala,V,AP-s,"work, labor, toil",cala,MODIFIED,,593
xonbucalo,A,AP-s,"bad, naughty, misbehaving",bucala,CHANGED,,2999;ERGANE:36095
bucalenvi,N,P-s,"work, task, job",bucala,CHANGED,,2769
jubucala,V,AP-s,"strike, be on strike",bucala,MODIFIED,,2568
tebucala,V,AP-s,"meet, convene, assemble, gather",bucala,MODIFIED,,2658;ERGANE:37074
bucalaymi,N,P-s,"post, duty station, work location",bucala,CHANGED,,2768;ERGANE:13841
dinbucala,V,AP-s,"celebrate, observe",bucala,MODIFIED,,2833;ERGANE:6691
xonbucala,V,AP-s,"misbehave, act up",bucala,MODIFIED,,2998
tibucala,V,AP-s,"hurry, rush, scramble, bustle, make haste, be in a hurry or rush",bucala,MODIFIED,,2666
tibucaloni,N,P-s,"haste, hurry, rush, hastiness, hurriedness",tibucala,CHANGED,,4030
jabucala,V,AP-s,"shop, go shopping",bucala,MODIFIED,,2546
danbucala,V,AP-s,"behave (oneself), be good, display good behavior",bucala,MODIFIED,,2818
joyfyucala,V,AP-s,"operate, perform surgery",cala,MODIFIED,,1805
joyfyucalono,A,P-s,surgical,joyfyucala,CHANGED,,3174
joyfyucalona,V,P-s,be surgical,joyfyucalono,CHANGED,,4058
joyfyucalenvi,N,P-s,"operation, surgery",joyfyucala,CHANGED,,3181
zoncala,V,AP-s,"rest, relax",cala,MODIFIED,,1374
xocala,V,AP-s,"exert oneself, put forth effort, apply oneself, put energy or elbow grease into something, work hard",cala,MODIFIED,,957
dwexocala,V,AP-s,"coach [athletic], train",xocala,MODIFIED,,2849
xocalinki,N,P-s,"effort, exertion, application, hard work",xocala,CHANGED,,2996
